,ticker,eps,dividend,tcl,tse,stable,total_cash,total_current_asset
0,BZLFF,1.3291139240506329,,"[3590600000, 3590600000, 2774900000, 2774900000]","[2404300000, 2404300000, 2203900000, 2203900000]","[1.4934076446366926, 1.4934076446366926, 1.2590861654340033, 1.2590861654340033]","[477700000, 610500000, 944300000, 776900000]","[3037900000, 3051900000, 3791500000, 3704800000]"
1,GRCY,,,"[2377408, 1968328, 1407284, 968093]","[-3544570, -3405135, -3270858, -1814232]","[-0.6707183099783612, -0.5780469790478204, -0.4302491884392413, -0.5336103651572677]","[49995, 526, 473945, 61773]","[49995, 5189, 599365, 66873]"
2,RBOT,-1.9473684210526316,,"[11678000, 6894000, 6390000, 6245000]","[108952000, 129779000, 128231000, 83091000]","[0.10718481533152213, 0.05312107505836846, 0.04983194391371821, 0.0751585610956662]","[16867000, 173507000]","[17125000, 178374000]"
3,VIRI,0.5978260869565217,,"[nan, 1897731, 1877196, 1275623]","[nan, 7142364, 10672662, 14501064]","[nan, 0.2657006839752217, 0.17588826480216463, 0.08796754500221501]","[30026, 309384, 29795366, 14008184]","[42398, 315900, 31472731, 15776687]"
4,BYTSU,,,,,,[1663104],[2235354]
5,KNCRF,,,"[1580400000, 1673100000, 1740700000, 1585800000]","[1316700000, 1263500000, 1343500000, 1351400000]","[1.2002734107997266, 1.3241788682231896, 1.2956457015258653, 1.1734497558087909]","[230500000, 378200000, 591900000, 320700000]","[1636600000, 1867700000, 1975800000, 1842600000]"
6,EVTV,-0.0,,"[1343015, 1053190, 956068, 1550272]","[72388228, 72136479, 73146743, 73741864]","[0.018552947587002683, 0.014599964048702738, 0.01307054778912029, 0.021022956512192315]","[136222, 4846490]","[1939132, 23023389]"
7,DUT.F,1.527743526510481,,"[2066000000, 2755000000, nan, 2496000000]","[2255000000, 2294000000, nan, 2727000000]","[0.9161862527716186, 1.2009590235396688, nan, 0.9152915291529153]","[1685000000, 1832000000, 2597000000, 1811000000]","[3386900000, 3679000000, 4509000000, 4011000000]"
8,SCVL,1.0206422018348624,,"[189242000, 199367000, 153708000, 161837000]","[483632000, 455714000, 452533000, 432546000]","[0.39129338009064746, 0.43748271942490247, 0.33966141695743735, 0.3741498014084051]","[67021000, 61899000, 106532000, 117443000]","[337313000, 329647000, 355305000, 442032000]"
9,DGX,0.8370951913640824,,"[1602000000, 1577000000, 1700000000, 1753000000]","[6235000000, 6411000000, 6377000000, 6444000000]","[0.25693664795509225, 0.24598346591795353, 0.26658303277403167, 0.27203600248292986]","[135000000, 1192000000, 1158000000, 872000000]","[1390000000, 2490000000, 3058000000, 2741000000]"
