,ticker,eps,dividend,tcl,tse,stable,total_cash,total_current_asset
0,DTEA,-0.024,,"[19615000, 16732000, 20098000, 20297000]","[41916000, 46655000, 48315000, 46741000]","[0.46795972898177307, 0.35863251527167506, 0.41597847459381143, 0.4342440255878137]","[42074000, 46338000, 30197000, 25107000]","[93034000, 80501000, 74347000, 63506000]"
1,VAC,1.413751508,0.0168,"[876000000, 834000000, 869000000, 1119000000]","[2626000000, 2745000000, 2814000000, 2976000000]","[0.3335872048743336, 0.3038251366120219, 0.30881307746979386, 0.37600806451612906]","[231000000, 287000000, 524000000, 342000000]","[3840000000, 4116000000, 3867000000, 3846000000]"
2,CLVS,0.37428023,,"[747870000, 121272000, 121832000, 125214000]","[-417886000, -367695000, -303306000, -278840000]","[-1.7896507659983822, -0.3298168318851222, -0.40168015139825786, -0.4490532204848659]","[221876000, 161833000, 240229000, 143428000]","[572299000, 366468000, 310829000, 198087000]"
3,NRE.F,,0.052600004,"[675400000, 660500000, 441200000, 470300000]","[1680500000, 1644600000, 1680400000, 1627600000]","[0.401904195180006, 0.4016174145688921, 0.2625565341585337, 0.28895305971983287]","[447500000, 218800000, 504200000, 385900000]","[1311000000, 1180500000, 1226700000, 1241400000]"
4,SEER,1.354737666,,"[13616000, 15024000, 11152000, 13423000]","[457768000, 472043000, 486458000, 502916000]","[0.029744324636060186, 0.031827608925458065, 0.022924897935690233, 0.02669034192588822]","[30953000, 17485000, 333585000, 232813000]","[31212000, 86806000, 433128000, 411699000]"
5,TAIT,,0.053400002,"[1103000, 1262000, 1295000, 2737000]","[16361000, 16120000, 16151000, 14385000]","[0.06741641708941996, 0.07828784119106699, 0.08018079375890037, 0.1902676399026764]","[4494000, 5313000, 6652000, 5974000]","[10059000, 10008000, 10855000, 13874000]"
6,GOGL,4,0.26639998,"[230511000, 230225000, 246377000, 248073000]","[1922277000, 1938108000, 1873820000, 1928741000]","[0.11991560009301469, 0.11878852984457007, 0.1314838138134933, 0.12861913548786488]","[305352000, 88931000, 153093000, 197032000]","[461234000, 273077000, 284529000, 369390000]"
7,RCKY,1.047486034,0.0225,"[131696000, 164299000, 196488000, 140136000]","[209328000, 204467000, 204454000, 197855000]","[0.629137048077658, 0.8035477607633505, 0.9610376906296771, 0.708276262919815]","[10173000, 15518000, 28353000, 5909000]","[131185000, 146126000, 163186000, 375285000]"
8,THRN,4.571428571,,"[28970695, 34568712, 27066857, 25736917]","[130116465, 123128855, 125678376, 118531510]","[0.2226520294722117, 0.2807523224348996, 0.21536606265504257, 0.21713143618941494]","[463648, 15262094, 51100915]","[33913665, 46728839, 101259423]"
9,WBS,1.903409091,0.0301,"[59595120000, 57745856000, 55346439000, 30569650000]","[7542431000, 7713809000, 7893156000, 3293288000]","[7.901314576162513, 7.486036535257743, 7.011953013471418, 9.282410162730985]","[329499000, 249495000, 228804000, 441870000]","[nan, nan, nan, nan]"
10,DCC.F,,0.04,"[3928341000, 3928341000, 3762389000, 3762389000]","[3006138000, 3006138000, 2905184000, 2905184000]","[1.3067733417427942, 1.3067733417427942, 1.2950604849813299, 1.2950604849813299]","[1554093000, 1794467000, 1786556000, 1394272000]","[3817593000, 4105236000, 4202059000, 5143912000]"
11,ZY,,,,,,,
12,CCJ,3,0.0039,"[437324000, 366056000, 434236000, 413743000]","[4889442000, 4940522000, 4886855000, 4845841000]","[0.08944251716249012, 0.0740925756428167, 0.08885796693374369, 0.08538105150375343]","[711528000, 1062431000, 918382000, 1247447000]","[2082726000, 1806978000, 1945044000, 2141552000]"
13,CPSI,2.2109375,,"[45403000, 48714000, nan, 46427000]","[232958000, 232933000, nan, 222572000]","[0.19489779273517116, 0.20913309835875551, nan, 0.2085931743435832]","[5732000, 7357000, 12671000, 11431000]","[69938000, 66832000, 67144000, 68998000]"
14,RCL,-0.161158416,,"[9793994000, 11719382000, 8007164000, 7285683000]","[3205424000, 3398098000, 3988928000, 5085556000]","[3.055444147170546, 3.4488063616764437, 2.0073473374300064, 1.4326227063471526]","[287852000, 243738000, 3684474000, 2701770000]","[1242044000, 1162628000, 4311747000, 3600271000]"
15,CAC,1.023640662,0.0366,"[5064576000, 4963878000, 4890282000, 4868793000]","[431007000, 446381000, 482446000, 541294000]","[11.750565536058579, 11.120271696151942, 10.136433922138437, 8.994729296833144]","[66999000, 75636000, 145774000, 220625000]","[nan, nan, nan, nan]"
16,COLI,,,"[355587, 78669, 105377, 315861]","[-2367162, -13951085, -16572776, -21570332]","[-0.15021658847176492, -0.005638916256334185, -0.0063584398896117346, -0.014643307298190867]","[nan, 732368]","[nan, 1012239]"
17,4F1.F,,0.061,"[616000000, 781969000, 687300000, 798034000]","[1800000000, 1740791000, 1727800000, 1614084000]","[0.3422222222222222, 0.4492032644929805, 0.3977890959601806, 0.4944191256464967]","[170061000, 242240000, 225631000, 87808000]","[784608000, 826460000, 767687000, 854692000]"
18,NUBI,,,"[272978, 656529, 66430, nan]","[-3349088, -3327695, 23570, nan]","[-0.0815081598333636, -0.19729242012864762, 2.8184132371658888, nan]",,
19,HIIIU,,,,,,"[185, 709182]","[185, 936355]"
20,TGVC,,,"[342584, 206508, 162685, 275722]","[568512, 599280, 710042, 971733]","[0.6025976584487223, 0.3445935122146576, 0.22912024922469376, 0.28374255068007365]",[664626],[1101302]
21,CELC,0.722245151,,"[6645072, 4149996, 3550810, 2505700]","[43525341, 53188731, 61539715, 68710477]","[0.1526713369115247, 0.078023970904664, 0.057699487233569415, 0.03646750989663483]","[15944609, 18735002, 11637911, 84286381]","[25218208, 19250354, 12166960, 85351975]"
22,HLNCF,,,"[nan, 4199000000, 5026000000, nan]","[26895000000, 26895000000, 26710000000, nan]","[nan, 0.15612567391708496, 0.1881692250093598, nan]","[339000000, 333000000, 413000000]","[5811000000, 5008000000, 5251000000]"
23,CLVR,1.003989362,,"[8218000, 8644000, 27494000, 27245000]","[69502000, 84589000, 82448000, 72770000]","[0.11824120169203764, 0.10218822778375439, 0.33347079371240057, 0.3743987907104576]","[12044000, 79107000, 37226000]","[23500000, 95806000, 60393000]"
24,CRH.L,0.018431373,0.0325,"[9279000000, 9279000000, 7581000000, 7581000000]","[20794000000, 20794000000, 20232000000, 20232000000]","[0.4462344907184765, 0.4462344907184765, 0.37470344009489914, 0.37470344009489914]","[2683596431.022649, 4206246079.397796, 7721000000, 5783000000]","[10879661404.71288, 11526570481.225916, 14977000000, 14044000000]"
25,IGC,,,"[1382000, 1659000, 2441000, 1279000]","[20144000, 22040000, 23892000, 29475000]","[0.06860603653693408, 0.07527223230490018, 0.10216808973715051, 0.04339270568278202]","[25610000, 7258000, 14548000, 10460000]","[26723000, 17757000, 23517000, 15111000]"
26,4H5.F,,0.021,"[14319000000, 14319000000, 12094000000, 12094000000]","[9485000000, 9485000000, 8593000000, 8593000000]","[1.509646810753822, 1.509646810753822, 1.4074246479692774, 1.4074246479692774]","[2903000000, 1821000000, 4000000000, 3248000000]","[9070000000, 8419000000, 9020000000, 9578000000]"
27,YNDX.ME,,,"[156116000000, 132174000000, 215128000000, 111106000000]","[306982000000, 264119000000, 234387000000, 258176000000]","[0.5085509899603234, 0.5004335167102707, 0.9178324736440161, 0.4303498388696083]","[68798000000, 56415000000, 132398000000, 79275000000]","[92420000000, 120284000000, 290401000000, 199975000000]"
28,W,2.795698925,,"[1961000000, 2218000000, 2199000000, 2217000000]","[-2378000000, -2145000000, -1904000000, -1619000000]","[-0.8246425567703953, -1.034032634032634, -1.1549369747899159, -1.3693638048177887]","[849461000, 582753000, 2129440000, 1706000000]","[1255936000, 1377138000, 3045802000, 3012000000]"
29,RA,,0.1396,,,,"[5174715, 5302624, 5387200, 5623384]","[nan, nan, nan, nan]"
30,STBA,2.495029821,0.0344,"[7557244000, 7708647000, 8030570000, 8119578000]","[1153181000, 1178358000, 1184950000, 1206454000]","[6.553389277138628, 6.541854852260519, 6.777138275876619, 6.730118181049589]","[155489000, 197823000, 229666000, 922215000]","[nan, nan, nan, nan]"
31,DRAY,,,"[88206, 22636, 17642, 10500]","[-11045485, -11173412, -14267860, -18607814]","[-0.007985706376858961, -0.002025880724706115, -0.0012364853594021808, -0.0005642790711472073]",[645542],[998942]
32,OEC,6.233333333,0.0053,"[547900000, 581600000, 510800000, 448700000]","[430700000, 395200000, 377400000, 319700000]","[1.2721151613652195, 1.4716599190283401, 1.3534711181770005, 1.4035032843290585]","[57016000, 63726000, 64869000, 65700000]","[575319000, 507720000, 500456000, 665000000]"
33,FNCH,1.290140845,,"[13808000, 15183000, 16787000, 14790000]","[120866000, 159092000, 179791000, 202224000]","[0.1142422186553704, 0.09543534558620169, 0.09336952350228876, 0.07313671967718965]","[42186000, 99710000, 133481000]","[48626000, 106164000, 142551000]"
34,AMZN,1.350024733,,"[140363000000, 140291000000, 139508000000, 142266000000]","[137489000000, 131402000000, 134001000000, 138245000000]","[1.020903490461055, 1.067647372186116, 1.0410967082335207, 1.0290860428948605]","[31750000000, 36092000000, 42122000000, 36220000000]","[75101000000, 96334000000, 132733000000, 161580000000]"
35,BROGW,,,,,,"[37351, 19830771, 39389935]","[2307518, 22359108, 40401956]"
36,BIO,0.092513542,,"[570677000, 613714000, 648331000, 680938000]","[8453605000, 8922597000, 10182916000, 13667134000]","[0.06750693934717791, 0.0687819925073384, 0.06366850124266958, 0.04982302800279854]","[431526000, 660672000, 662205000, 470783000]","[2023478000, 2180155000, 2139835000, 1989088000]"
37,PHICW,,,,,,"[681243, 247444]","[1541928, 647926]"
38,DCO.F,2.459739687,0.0118,"[32082000000, 29098000000, 24684000000, 27533000000]","[19033000000, 18904000000, 17804000000, 18431000000]","[1.6855986969999475, 1.5392509521794329, 1.386430015726803, 1.493841896804297]","[3857000000, 7066000000, 8017000000]","[49267000000, 51361000000, 58219000000]"
39,OXLCL,,,,,,,
40,GATE,,,"[559395, 363759, 345693, 347950]","[-14763297, -14634587, -14761981, -14616431]","[-0.03789092639672561, -0.024856116540904093, -0.023417791961661515, -0.02380540092174348]","[0, 380160]","[0, 724441]"
41,RKLY,0.180334908,,"[30075000, 26037000, 47296000, 51792000]","[-29853000, -50465000, 65400000, 103818000]","[-1.0074364385488896, -0.5159417418012484, 0.7231804281345566, 0.4988730277986476]","[19228000, 36786000]","[44391000, 119374000]"
42,COLB,0.890207715,0.0374,"[18033694000, 18051358000, 18343425000, 18134906000]","[2115481000, 2243218000, 2360779000, 2588742000]","[8.524630568650817, 8.047081469567381, 7.770072929316975, 7.005296781216513]","[277587000, 247673000, 653766000, 824714000]","[nan, nan, nan, nan]"
43,NMZ,,0.0641,"[641492960, 641492960, 491545790, 491545790]","[1234186071, 1234186071, 1404751662, 1404751662]","[0.5197700533763356, 0.5197700533763356, 0.3499165036047489, 0.3499165036047489]","[438878, 7447518, 0]","[nan, nan, nan]"
44,OMQS,0.036540804,,"
2021-12-31    66097000.0
2020-12-31    41767000.0
2019-12-31    30790000.0
2018-12-31    35170000.0
Name: Total Current Liabilities, dtype: float64","
2021-12-31     -99000.0
2020-12-31   -5045000.0
2019-12-31    1803000.0
2018-12-31    2288000.0
Name: Total Stockholder Equity, dtype: float64","
2021-12-31   -667.646465
2020-12-31     -8.278890
2019-12-31     17.077094
2018-12-31     15.371503
dtype: float64","
2021-12-31    7085000.0
2020-12-31    5127000.0
2019-12-31    1615000.0
2018-12-31     378000.0
Name: Cash, dtype: float64","
2021-12-31    43159000.0
2020-12-31    16975000.0
2019-12-31    10625000.0
2018-12-31    14690000.0
Name: Total Current Assets, dtype: float64"
45,UTAAW,,,,,,,
