ticker,eps,dividend,tcl,tse,stable,total_cash,total_current_asset
WDFC,1.220408163,0.0178,"[110820000, 96269000, 83389000, 81058000]","[188624000, 195229000, 198850000, 198398000]","[0.5875180252778014, 0.49310809357216395, 0.41935629871762636, 0.4085625863163943]","[27233000, 56462000, 85961000, 37843000]","[147995000, 185154000, 241219000, 249640000]"
WPP,,0.0388,"[14882800000, 14882800000, 16485400000, 16485400000]","[3791900000, 3791900000, 3616400000, 3616400000]","[3.9248925340858145, 3.9248925340858145, 4.558511226634222, 4.558511226634222]","[2643200000, 2969000000, 12899100000, 3882900000]","[15943400000, 15442000000, 24004500000, 15335600000]"
3IW.F,0.853403141,0.0392,"[2012800000, 1910900000, 2366200000, 1915300000]","[10893200000, 11103200000, 11334500000, 11485300000]","[0.18477582344949142, 0.17210353771885584, 0.20876086285235343, 0.1667609901352163]","[1805400000, 1701200000, 1710100000, 2147100000]","[14223400000, 3036400000, 2885300000, 3723500000]"
BRC,1.258278146,0.019,"[243613000, 255174000, 243770000, 227496000]","[911725000, 911298000, 914238000, 966568000]","[0.26720008774575665, 0.28001158786697655, 0.26663735263684074, 0.23536471308795656]","[279072000, 217643000, 147335000, 114069000]","[573279000, 509448000, 465104000, 498068000]"
OPNT,2.43956044,,"[7040375, 4994668, 6787607, 6845558]","[20501989, 29596311, 39263246, 46839808]","[0.343399608691625, 0.16875981604599302, 0.17287432119086638, 0.14614829334911023]","[24613638, 30980473, 48251336, 37853947]","[29370578, 39254656, 59099153, 69158964]"
0HF6.L,,,"[6542000000, 7032000000, 2250000000, 9891000000]","[3257000000, 4304000000, 5010000000, 5685000000]","[2.0085968682836968, 1.6338289962825279, 0.4491017964071856, 1.7398416886543535]",,
FMC1.F,0.874418605,0.0427,"[90167000000, 86452000000, 90352000000, 90727000000]","[42125000000, 44169000000, 44985000000, 48519000000]","[2.1404629080118696, 1.9573003690371076, 2.008491719462043, 1.8699272449968054]","[16718000000, 17504000000, 25243000000, 20540000000]","[114649000000, 114047000000, 116744000000, 108996000000]"
BLTS,,,"[5488276, 6280260, 5996003, 5976435]","[-12049416, -15325304, -23666992, -27323686]","[-0.45548066395914955, -0.40979676487983535, -0.25334875678328705, -0.21872726102913054]","[56573, 87074]","[56573, 687074]"
DCRD,,,"[12489063, 9184279, 6804215, 6072295]","[-38587841, -25180171, -33664329, -43397289]","[-0.32365280555602993, -0.3647425190241957, -0.20211943033232593, -0.13992337171107624]",[55752],[734425]
UPXI,1.315789474,,"[11729550, 10127748, 4373141, 5262529]","[27131585, 28731424, 28415994, 29520186]","[0.4323208540894312, 0.3524972517895389, 0.1538971679118457, 0.1782688293359669]","[3697432, 887517, 14534211, 7149806]","[5115194, 2649674, 18293083, 17061622]"
A,1.485645933,0.0057,"[1861000000, 1902000000, 1813000000, 1584000000]","[5289000000, 5091000000, 5122000000, 5154000000]","[0.35186235583286063, 0.37360047142015324, 0.3539632955876611, 0.3073341094295693]","[1382000000, 1441000000, 1484000000, 1053000000]","[3189000000, 3415000000, 3799000000, 3778000000]"
EIGR,0.759089093,,"[26119000, 21847000, 36612000, 29901000]","[78308000, 102925000, 97267000, 72399000]","[0.33354191142667416, 0.21226135535584162, 0.3764072090225873, 0.41300294202958604]","[61262000, 39373000, 28864000, 22221000]","[101845000, 100384000, 137806000, 103364000]"
ALSA,,,"[3413947, 3008939, 2880793, 2927999]","[-3253781, -2765465, -2576684, -2397205]","[-1.049224579035897, -1.0880408900492322, -1.1180233975140141, -1.2214220310736879]",,
SMSI,0.152905199,,"[12765000, 10160000, 9342000, 9368000]","[83383000, 86928000, 94183000, 100560000]","[0.15308875909957664, 0.11687833609423891, 0.09918987503052568, 0.09315831344470962]","[12159000, 28268000, 25754000, 16078000]","[20084000, 39964000, 39290000, 28656000]"
INTZ,0.530888031,,"[13695000, 10464000, 6581000, 3391000]","[-541000, -1854000, 1302000, 3919000]","[-25.31423290203327, -5.644012944983818, 5.054531490015361, 0.8652717529982138]","[1652000, 3334000, 16704000, 4100000]","[3710000, 5052000, 18307000, 5490000]"
PNTM,,,"[1405385, 1807168, 2027422, 1425708]","[-31199309, -33539376, -39142210, -57769676]","[-0.04504538866549897, -0.05388198039224105, -0.05179630889517991, -0.02467917597460647]","[nan, 266889]","[5000, 763999]"
MNTK,1.6,,"[30347000, 32332000, 26143000, 24557000]","[218808000, 204870000, 183421000, 182293000]","[0.13869236956601222, 0.1578171523405086, 0.1425300265509402, 0.13471170039441996]","[54032000, 9788000, 20992000, 53266000]","[66486000, 22542000, 32485000, 75167000]"
PTN,10.76433121,,"[15861001, 16259864, 11976647, 13863992]","[8449304, 16267835, 28085419, 35196267]","[1.877196157221944, 0.9995100147007884, 0.4264364722491767, 0.3939051831832052]","[43510422, 82852270, 60104919, 29939154]","[104413681, 83590486, 65907041, 34596099]"
ZEN,-0.518962076,,"[936569000, 967078000, 907617000, 911339000]","[346863000, 326821000, 327100000, 489218000]","[2.7001121480238597, 2.9590448594184586, 2.774738612045246, 1.8628484642838161]","[126518000, 196591000, 405430000, 476103000]","[572596000, 692823000, 1275973000, 1418632000]"
PRLHU,,,,,,[1369047],[1454319]
TECTP,,0.088,"[471454000, 475154000, 444524000, 445053000]","[93523000, 90804000, 87307000, 84770000]","[5.041048725981844, 5.232743050966918, 5.0915046903455625, 5.250123864574731]",,
ZLPSF,,,"[399573896, 365372571, 318036093, 296643137]","[113398527, 121075070, 140950332, 135854247]","[3.523625099645254, 3.0177357816105332, 2.256369945975012, 2.1835396651236088]","[59521000, 64293000, 109814000]","[231716304.7, 258081546.41, 361043096.07]"
SOHU,-0.583675331,,"[410539000, 446859000, 486745000, 503451000]","[1100059000, 1180051000, 1242302000, 1290869000]","[0.37319725578355345, 0.3786777012179982, 0.39180891602846973, 0.39000936578382467]","[819713000, 305126000, 217057000, 998949000]","[2316560000, 2015668000, 2254872000, 1590124000]"
FDX.F,,0.030299999,"[13765000000, 14274000000, 13990000000, 13884000000]","[25140000000, 24939000000, 24526000000, 24940000000]","[0.5475338106603023, 0.572356549981956, 0.5704150697219278, 0.5566960705693664]","[2319000000, 4881000000, 7087000000, 6897000000]","[13086000000, 16383000000, 20580000000, 20365000000]"
GSRM,,,"[3559527, 290278, 128265, 75000]","[-1365158, 2191383, 2327273, 15000]","[-2.607410277784696, 0.13246338043144443, 0.055113860728844444, 5.0]",[44739],[44739]
CDAQW,,,,,,[1788014],[2208181]
IMAQR,,,,,,,
ORLA,,,"[77672000, 58345000, 44807000, 37768000]","[374199000, 217395000, 204781000, 184417000]","[0.20756870007669717, 0.2683824374985625, 0.21880447893115085, 0.2047967378278575]","[12250831.479483, 22973045.388779, 72180000, 20516000]","[12684742.626814, 23115435.55314, 73100000, 48345000]"
NVO,1.150684932,0.0148,"[130257000000, 109655000000, 95602000000, 99516000000]","[76680000000, 74452000000, 66550000000, 70746000000]","[1.6987089201877934, 1.4728281308762692, 1.4365439519158527, 1.4066661012636756]","[15638000000, 15475000000, 12757000000, 10720000000]","[59067000000, 62456000000, 65809000000, 85595000000]"
CHS,-0.073954984,,"[420220000, 482417000, 450682000, 487385000]","[324537000, 297877000, 252778000, 221504000]","[1.2948292490532667, 1.6195174518341464, 1.7829162347989145, 2.2003440118462874]","[124128000, 63972000, 90791000, 115105000]","[485178000, 422802000, 402038000, 494063000]"
AXH,,,,,,,
CCXI,0.56684492,,,,,,
DMA,,0.0706,,,,[331780],[nan]
