,ticker,eps,dividend,tcl,tse,stable,total_cash,total_current_asset,tse_coeff,tcl_coeff,stable_coeff,total_cash_coeff,total_current_asset_coeff,score
0,KMB,-3.20855615,0.0,"[[7197000000.0, 7209000000.0, 7257000000.0, 6749000000.0], [0, 1, 2, 3]]","[[437000000.0, 593000000.0, 705000000.0, 514000000.0], [0, 1, 2, 3]]","[[16.469107551487415, 12.156829679595278, 10.293617021276596, 13.130350194552529], [0, 1, 2, 3]]","[[539000000.0, 442000000.0, 303000000.0, 270000000.0], [0, 1, 2, 3]]","[[5041000000.0, 5057000000.0, 5174000000.0, 5565000000.0], [0, 1, 2, 3]]",-1,1,1,1,-1,-1.2085561500000002
1,SPNS,1.203422053,0.0346,"[[143251000.0, 148787000.0, 151695000.0], [0, 1, 3]]","[[377158000.0, 382657000.0, 406548000.0], [0, 1, 3]]","[[0.379816946743805, 0.38882602435078933, 0.37312937217745507], [0, 1, 3]]","[[64628000.0, 66295000.0, 152561000.0, 190243000.0], [0, 1, 2, 3]]","[[130011000.0, 147223000.0, 267358000.0, 300345000.0], [0, 1, 2, 3]]",-1,-1,1,-1,-1,3.238022053
2,GBCI,1.333333333,0.0364,"[[23481955000.0, 23341529000.0, 22658658000.0, 22362105000.0], [0, 1, 2, 3]]","[[2772357000.0, 2896239000.0, 2934193000.0, 3177622000.0], [0, 1, 2, 3]]","[[8.470032899803309, 8.059255123627574, 7.722279345632684, 7.037371027768564], [0, 1, 2, 3]]","[[203790000.0, 330961000.0, 633142000.0, 437686000.0], [0, 1, 2, 3]]","[[], []]",-1,1,1,-1,0,2.369733333
3,SBT,1.29218107,0.023,"[[1985571000.0, 2033833000.0, 2231235000.0, 2299616000.0], [0, 1, 2, 3]]","[[329601000.0, 335332000.0, 343627000.0], [0, 1, 3]]","[[6.024165582021899, 6.06513246573545, 6.692186586036604], [0, 1, 3]]","[[53626000.0, 78844000.0, 1005518000.0, 412859000.0], [0, 1, 2, 3]]","[[], []]",-1,-1,-1,-1,0,0.31518106999999995
4,PUM.F,0.916666667,0.0,"[[3066900000.0, 2680300000.0, 2238100000.0, 2164500000.0], [0, 1, 2, 3]]","[[2897300000.0, 2585000000.0, 2430400000.0, 2213300000.0], [0, 1, 2, 3]]","[[1.058537258827184, 1.0368665377176016, 0.9208772218564846, 0.9779514751728189], [0, 1, 2, 3]]","[[463700000.0, 518100000.0, 655900000.0, 757500000.0], [0, 1, 2, 3]]","[[2192800000.0, 2481200000.0, 2613000000.0, 3489800000.0], [0, 1, 2, 3]]",1,1,1,-1,-1,-1.0833333330000001
5,IMTX,7.274261603,0.0143,"[[113994000.0, 91854000.0, 95148000.0, 107120000.0], [0, 1, 2, 3]]","[[124941000.0, 115987000.0, 24063000.0, 35161000.0], [0, 1, 2, 3]]","[[0.9123826446082551, 0.7919335787631373, 3.9541204338611147, 3.0465572651517308], [0, 1, 2, 3]]","[[103353000.0, 207530000.0, 132994000.0], [0, 1, 2]]","[[124000000.0, 238991000.0, 152207000.0], [0, 1, 2]]",1,1,-1,-1,-1,1.2885616030000007
6,0MGG.L,-2.740740741,0.0,"[[1020700000.0, 996000000.0, 927800000.0, 791000000.0], [0, 1, 2, 3]]","[[1651100000.0, 1547900000.0, 1303200000.0, 1328800000.0], [0, 1, 2, 3]]","[[0.618193931318515, 0.6434524194069384, 0.711939840392879, 0.5952739313666466], [0, 1, 2, 3]]",0,0,1,1,1,0,0,-2.7407407409999998
7,LGST,0.0,0.0,"[[259234.0, 178999.0, 59375.0], [1, 2, 3]]","[[-14046699.0, -14253697.0, -14227709.0], [1, 2, 3]]","[[-0.018455154481490633, -0.012558075283907046, -0.004173194714623416], [1, 2, 3]]","[[344581.0], [0]]","[[791191.0], [0]]",1,1,-1,1,1,-2.0
8,SDRB.F,0.0,0.0,"[[2681000000.0, 2630000000.0, 30594000000.0, 2616000000.0], [0, 1, 2, 3]]","[[5566000000.0, 6047000000.0, 6385000000.0, 6297000000.0], [0, 1, 2, 3]]","[[0.4816744520301833, 0.4349264097899785, 4.791542678151918, 0.41543592186755596], [0, 1, 2, 3]]","[[1175000000.0, 1435000000.0, 1804000000.0, 2083000000.0], [0, 1, 2, 3]]","[[], []]",-1,-1,-1,-1,0,-1.0
9,TKNO,0.0,0.106400006,"[[12328000.0, 11865000.0, 12636000.0, 7743000.0], [0, 1, 2, 3]]","[[111996000.0, 133467000.0, 138548000.0, 143203000.0], [0, 1, 2, 3]]","[[0.1100753598342798, 0.08889837937467689, 0.09120304876288363, 0.05407009629686529], [0, 1, 2, 3]]","[[4144000.0, 3315000.0, 87518000.0], [0, 1, 2]]","[[15416000.0, 16414000.0, 101204000.0], [0, 1, 2]]",-1,1,1,-1,-1,0.10640000600000032
